Cast,Count
"Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jafar, Vijay Raaz, Brijendra Kala, Srishti Shrivastava",2
Gina Yashere,2
George Carlin,3
Gary Owen,2
Gary Gulman,2
"Jagapati Babu, Navdeep, Sidhu, Swetha Basu Prasad, Sivaji, Apoorva Arora, Aiswarya, Krishna Bhagwan, Dhanraj, Posani",3
Gallagher,9
Eddie Griffin,2
Doug Stanhope,3
"Rajinikanth, Nayanthara, Sunil Shetty",3
Dan Cummins,2
D.L. Hughley,2
Craig Shoemaker,2
Julia Marie,2
"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar",2
Chris Porter,2
Chiara Ferragni,3
"Rajkummar Rao, Nushrratt Bharuchaa",2
David Suchet,2
"Fahadh Faasil, Darshana Rajendran, Roshan Mathew, Saiju Kurup, Mala Parvathy",2
Richard Wilson,2
Bryan Callen,3
Brian Posehn,2
Brad Williams,2
Bob Saget,2
Stevin John,11
"Susan Sarandon, Kate Winslett, Mia Wasikowska, Sam Neill, Rainn Wilson",2
Bill Hicks,3
Andy Murray,2
Michael Murphy,3
Alonzo Bodden,4
Mark Harmon,2
"Suriya, Paresh Rawal, Mohan Babu, Aparna Balamurali, Urvashi, Karunas, Vivek Prasanna, Krishna Kumar. B, Kaali Venkat, Poo Ramu, Achyuth Kumar, Prakash Belawadi, Hans Kaushik, Dan Dhanoa",3
Martine Saunier,3
Steven Mackintosh,2
"Rajinikanth, Akshay Kumar, Amy Jackson",3
"Florence Pugh, Jack Reynor, Will Poulter, William Jackson Harper",2
"Steve, Maggie",3
"Matt Lynch, Sasha Andreev, Amanda Day, Danny Mason",2
"Martin Short, Alexa Torrington, Jacob Ewaniuk, Rob Tinkler",3
Tammy Pescatelli,2
"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi",2
"Salman Khan, Kichcha Sudeepa, Sonakshi Sinha, Arbaaz Khan, Saiee Manjrekar",2
"Fahadh Faasil, Baburaj, Shammi Thilakan, Unnimaya Prasad, Alister Alex",2
"Sylvester Stallone, Max Zhang, Dave Bautista, Devon Sawa, Jaime King, Curtis Jackson, Harry Shum Jr.",2
"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adrianna Barraza, Yvette Monreal, Oscar Jaenada",2
"Puneeth Rajkumar, Sayyeshaa Saigal, Prakash Raj, Dhananjaya, Diganth Manchale, Sonu Gowda, Avinash, Achyuth Kumar, Sai Kumar Pudipeddi, Sudharani",4
Queen,2
"Sophie Nélisse, Nia Long, Corinee Foxx, Brianne Tju, Sistine Stallone, Davi Santos, Khylin Rhambo, Brec Bassinger, John Corbett",2
"Annapurnamma, Gemini Suresh, Chaitanya Garikapati, Viva Raghav, Ram Ravipalli, Satish Saripalli",2
"Lau Ching-wan, Louis Koo, Daniel Wu",2
"Caitlin Harris, Chris Wellington, Emily Seale-Jones, Lauren Harris, Owen Drake",2
Sebastian Maniscalco,2
"Cut the Rope, Om Nom",6
"Vinod Prabhakar, Asha Bhat, Jagapathi Babu, Sreedhar Rao Chennamaneni, Amit Shivdas Nair, Sridhar Rao, Cockroach Sudhi, Darshan Thoogudeep",2
"Chad Michael Murray, Bruce Willis, Shea Buckner, Tyler Jon Olson, Lydia Hull, Riley Wolfe Rach, Jessica Abrams",2
"Sacha Baron Cohen, Maria Bakalova",3
"Gene Autry, Champion, Elena Verdugo",2
Om Nom,2
"Satya Dev, Priya Lal, Rahul Ramakrishna, Priyadarshi",3
LooLoo Kids,7
"LB, Arron Michael",2
Yakov Smirnoff,8
"Mahesh Babu, Rashmika Mandanna, Vijayashanti, Prakash Raj, Rajendra Prasad",2
"Rana Daggubati, Kay Kay Menon, Atul Kulkarni, Tapsee Pannu (in a Special Appearance), Late Om Puri, Nassar, Rahul Singh, Milind Gunaji",3
"Ana De Armas, Toni Collette, Christopher Plummer, Don Johnson, Michael Shannon, Jaeden Martell, Riki Lindhome, Chris Evans, Jamie Lee Curtis, Lakeith Stanfield, Daniel Craig, Katherine Langford",2
"Gene Autry, Champion, Sheila Ryan",2
"Gene Autry, Champion, Gail Davis",12
"Coke Horner, Sigh Bleu, Aiko Melissa, Nigel Morris, Lavonia Ratliff, Sonny Cruz, Dena Smith",2
"Thavasi, Murali Krishna, Johnsi, Raveena, Kamalesh",2
"Test Actor1 US, Test Actor2",2
"Roberto Benigni, Federico Ielapi, Rocco Papaleo, Massimo Ceccherini",2
The Rolling Stones,3
"Lea, Pop",3
"Satyadev, Eesha Rebba, Musskan Sethi, Srikanth",3
"Vishnu Manchu, Kajal Aggarwal, Suniel Shetty, Naveen Chandra, Navdeep, Harsha, Mahima Makwana, Karma McCain, Ruhi Singh",3
"Steve R. Watts, Maggie",3
"Tôru Furuya, Hirotaka Suzuoki, Kouichi Hashimoto",4
"Guillermo Ivan, Kimberley Aria Peterson, Huitzil Sol, Rudy Miera",2
1,34
"Adarsh Gourav, Luv Vispute, Shubham Gaur, Nikhil Vijay, Ahsaas Channa, Ayushi Gupta",2
"Penny Singleton, Arthur Lake",2
Ikue Ohtani,2
Eddie Izzard,9
"Bryan Brown, Matthias Hues, Amanda Pays, Art Malik, Patricia Kerrigan, Elisabetta Coraini, Richard D. Sharpe, Sophie Okonedo, Anthony Valentine",2
"Megumi Ogata, Megumi Hayashibara, Yūko Miyamura, Maaya Sakamoto, Kotono Mitsuishi",3
Tommy Davidson,2
"Arya, Dushara Vijayan, Pasupathy, Kalaiyarasan, John Vijay, John Kokken, Sanchana Natarajan, Kaali Venkat, Anupama Kumar, G.M. Sundhar, Muthukumar",2
Geovanni Molina,2
"Mammootty, Manju Warrier, Ameya Mathew, Nikhila Vimal, Baby Monica",2
"Indrans, Sreenath Bhasi, Vijay Babu, Manju Pillai, Neslin, Kainakary Thankaraj, KPAC Lalitha, Srikanth Murali, Johny Antony, Pauly Wilson, Maniyan Pillai Raju, Anoop Menon, Aju Varghese, Kiran Aravindhakshan, Chithra, Priyanka Nair",2
"Kenny Wormald, Rachele Brooke Smith, Sarah Jayne Jensen, Ethan Stiefel, Peter Gallagher",2
"Tovino Thomas, Piaa Bajpai",2
"Stephen Baldwin, Tyne Daly, Allen Garfield",2
"Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, Jessie Buckley, Angus Wright",2
"Matt Leblanc, Chris Harris, Rory Reid",2
"Alex J. Murphy , John Terrence Cable ,  Sara Cable",2
"Ben Affleck, Jennifer Garner, Joe Pantoliano, Jon Favreau, Michael Clarke Duncan, Colin Farrell, David Keith",2
"Martin Lawrence, Brandon T. Jackson, Jessica Lucas",2
"Terence Hill, Clare Carey, Paul Sorvino, Maria P. Petruolo",2
"Yamil Ureña, Braulio Castillo, Sisan Chiong, Edgar Cuevas, Joseette Vidal, Rocio Verdejo, Azul Guaita, Elaine Haro",2
Clayton Grimm,2
Jayasurya,2
Cassandra Peterson,21
"Jack De Sena, Dave B. Mitchell, Stephanie Sheh, David Chen, Sean Schemmel, Patrick Seitz",2
"Nani, Ritu Varma, Aishwarya Rajesh, Jagapathi Babu, Daniel Balaji, Nasser, Parvathi T, Rohini, Rao Ramesh, Naresh",2
"Ave Merson-O'Brian, Milla Jovovich, Michelle Rodriguez, Sally Cahill, Kevin Durand, Sienna Guillory, Shawn Roberts, Aryana Engineer, Colin Salmon, Johann Urb, Boris Kodjoe, Li Bingbing",2
"Danny DeVito, Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance, Frank McRae, Tom Noonan, Robert Prosky, Anthony Quinn, Mercedes Ruehl, Austin O'Brien",2
Iyke Ogbonna George Clinting Ngozi Achms,2
"Gabi Lopes, Carla Diaz, Leonardo Medeiros, Augusto Madeira, Vera Zimmermann",2
"Vishal TM, Rangarao",2
"Steve Carell,  Tina Fey,  Mark Wahlberg,  Taraji P. Henson",2
"Mark Wahlberg, Steve Carell, Taraji P. Henson, Tina Fey, Common",2
"Kangana Ranaut, Arvind Swamy, Nassar",4
"Richard Gere, Julia Roberts",2
