Director,Genre(s)
Jonathan Miller,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
Tim Bell,['Documentary']
Fro Rojas,['Kids']
Adam Dufour,"['Drama', 'Faith and Spirituality', 'Special Interest']"
 Jacob Dufour,"['Drama', 'Faith and Spirituality', 'Special Interest']"
Sam Newfield,"['Western', 'Arts', 'Entertainment', 'and Culture', 'Drama', 'Action', 'Adventure', 'Suspense']"
Frank McDonald,"['Western', 'Action', 'Drama', 'Arts', 'Entertainment', 'and Culture', 'Special Interest']"
Matt Askem,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
Michael Petroni,"['Drama', 'Suspense']"
Ali Abbas Zafar,"['Action', 'Drama', 'International', 'Romance', 'Comedy']"
Aubrey Scotto,"['Drama', 'Suspense', 'Comedy', 'Military and War']"
Albert Pyun,"['Action', 'Adventure', 'Suspense', 'Science Fiction']"
Kevin Tenney,"['Action', 'Drama', 'Suspense']"
Jean-Pierre Krief,"['Documentary', 'International']"
J.S. Cardone,"['Drama', 'Suspense']"
Richard Rush,['Action']
Vijay Krishna Acharya,"['Action', 'Drama', 'International']"
Rajesh Mohanan Nair,['Action']
Martha Coolidge,"['Adventure', 'Fantasy', 'Comedy']"
Charles Walters,['Comedy']
Robert Florey,['Drama']
Gordon Parks Jr.,"['Action', 'Romance', 'Western', 'Comedy', 'Drama']"
Kyle Clark,"['Documentary', 'Talk Show and Variety']"
Steve Asquith,"['Animation', 'Kids']"
Rob Silvestri,"['Animation', 'Kids']"
David Stoten,"['Animation', 'Kids']"
Rob Silvestri,"['Animation', 'Kids']"
Lance Mungia,"['Documentary', 'Special Interest']"
Gil Junger,"['Comedy', 'Kids', 'Drama', 'Romance']"
Gil Junger,"['Comedy', 'Kids', 'Drama', 'Romance']"
Susanna Bier,['Drama']
Erle C. Kenton,"['Arts', 'Entertainment', 'and Culture', 'Drama']"
William Wyler,"['Drama', 'Romance', 'Suspense', 'Comedy', 'Action', 'Western']"
Isao Yukisada,"['Drama', 'International', 'Romance']"
Ralph Ziman,['Drama']
Aidan Belizaire,"['Comedy', 'Horror']"
Ted Tetzlaff,"['Action', 'Western']"
Alexandre Moors,['Drama']
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Russell Holt,"['Drama', 'Faith and Spirituality', 'Romance']"
Neko Sparks,"['Horror', 'Science Fiction']"
Angelo J. Guglielmo,['Documentary']
  Jr.,"['Documentary', 'Action', 'Suspense']"
George Archainbaud,"['Western', 'Special Interest', 'Comedy']"
Tom Harper,"['Horror', 'Suspense', 'Adventure', 'Drama', 'Romance']"
Stephen Cone,"['Drama', 'Faith and Spirituality', 'LGBTQ']"
David Mamet,"['Drama', 'Romance', 'Action']"
John Zaritsky,"['Documentary', 'Special Interest']"
Robin Hardy,"['Horror', 'Suspense']"
Martin R Smith,"['Documentary', 'Music Videos and Concerts']"
Robert Child,"['Documentary', 'Military and War', 'Special Interest']"
Robert Luketic,"['Comedy', 'Drama', 'Suspense']"
King Vidor,"['Drama', 'Romance']"
Mark Jean,"['Comedy', 'Romance']"
Andrew Patterson,"['Drama', 'Science Fiction', 'Suspense']"
William Nigh,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Drama', 'Military and War', 'Suspense', 'Action']"
Loki Mulholland,"['Documentary', 'Kids', 'Special Interest']"
Joanne Hock,"['Drama', 'Faith and Spirituality']"
Terry L. Noss,"['Animation', 'Kids']"
 Richard Rich,"['Animation', 'Kids']"
Stephan Schultze,"['Drama', 'Faith and Spirituality']"
Martin Krejcí,"['Action', 'Drama']"
Roger Corman,"['Drama', 'Horror', 'Suspense', 'Comedy']"
Pascal Laugier,"['Horror', 'Suspense']"
Wei-Hao Cheng,"['Horror', 'Suspense']"
Jordan Leondopoulos,['Drama']
 John C. Broderick,['Drama']
 John Shade,['Drama']
Swami Tadatmananda,"['Documentary', 'Special Interest']"
Matt Servo,['Kids']
 Troy McDonald,['Kids']
 Laurel Dalgleish,"['Kids', 'Action', 'Animation']"
 Brett Jubinville,['Kids']
Eric Bilitch,['Drama']
Tony Waters,['Documentary']
Robin Parsons,['Documentary']
James Melkonian,['Comedy']
David Jackson,"['Comedy', 'Drama', 'Romance']"
Evan Oppenheimer,"['Drama', 'Science Fiction', 'Suspense']"
André Pellenz,['Comedy']
B. Harrison Smith,"['Drama', 'Horror', 'Suspense']"
Joanna Hogg,"['Drama', 'Romance']"
Henry King,"['Action', 'Drama']"
Aleksey Tsitsilin,"['Animation', 'Kids']"
Jay Chapman,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest', 'Documentary']"
Oceanic Research Group,['Documentary']
Jean van de Velde,"['Action', 'Drama', 'International']"
Robin Pront,['Suspense']
Shawn Cunningham,"['Drama', 'Suspense']"
John Sayles,"['Drama', 'Arthouse', 'Romance', 'Comedy', 'Suspense']"
Norman Z. McLeod,"['Comedy', 'Science Fiction', 'Arts', 'Entertainment', 'and Culture', 'Drama']"
Elliot Weaver,"['Documentary', 'Action', 'Science Fiction']"
 Zander Weaver,"['Documentary', 'Action', 'Science Fiction']"
Carter Smith,['Horror']
Galt Neiderhoffer,"['Comedy', 'Drama']"
Hao Wu,['Documentary']
Jamal (Jay) Sommerville aka The God i.e.,"['Action', 'Drama', 'Horror']"
Paul Schneider,"['Comedy', 'Kids', 'Drama', 'Suspense']"
Mario Andreacchio,"['Action', 'Kids', 'Science Fiction']"
Henry Hathaway,"['Action', 'Drama', 'Romance', 'Military and War', 'Western']"
Baeble Music,"['Music Videos and Concerts', 'Comedy', 'Arts', 'Entertainment', 'and Culture']"
Howard Higgin,"['Action', 'Drama', 'Suspense']"
Stephen Frears,"['Drama', 'Sports']"
Yen-Ping Chu,"['Action', 'Drama']"
Neena Nejad and Xoel Pamos,"['Documentary', 'Drama', 'Special Interest']"
Jimmy Henderson,"['Action', 'Suspense']"
The Pop Ups,['Kids']
Rupert Julian,"['Horror', 'Drama']"
Elizabeth Rohrbaugh,"['Documentary', 'Special Interest', 'Arts', 'Entertainment', 'and Culture', 'Drama']"
Jefferson Moore,['Drama']
 Shane Sooter,['Drama']
Mark Deimel,['Comedy']
Simon Egan,"['Documentary', 'International', 'Special Interest']"
Harold Trompetero,['Comedy']
Alan J. Pakula,['Drama']
Howard Kress,"['Adventure', 'Drama']"
 Harold F. Kress,"['Adventure', 'Drama']"
Herbert Ross,"['Drama', 'Comedy']"
George McCowan,"['Comedy', 'Western']"
Timothy Woodward Jr.,"['Action', 'Western']"
Arther HIller,['Comedy']
Gene Saks,"['Comedy', 'Drama']"
Jerry Lewis,"['Comedy', 'Science Fiction']"
Lewis Milestone,"['Drama', 'Military and War']"
Matt Jones,['Comedy']
 Dave Hill,['Comedy']
Christian Sesma,"['Action', 'Suspense']"
Diane Paloma Eskenazi,"['Animation', 'Kids']"
Edward A. Kull,"['Action', 'Adventure']"
Mark Lewis,"['Documentary', 'Special Interest']"
Bart Freundlich,"['Comedy', 'Drama', 'Romance']"
Anna Sofaer,"['Documentary', 'Special Interest']"
Clare Lewins,['Documentary']
BRB International,"['Drama', 'Kids']"
Seth Breedlove,"['Documentary', 'Horror', 'Drama']"
Fred Dekker,"['Action', 'Comedy', 'Horror']"
Chris Cofer,['Documentary']
Brett Simmons,"['Horror', 'Suspense']"
Manuel Sicilia,"['Action', 'Animation', 'Kids']"
 Raul Garcia,"['Action', 'Animation', 'Kids']"
Albert Herman,"['Suspense', 'Comedy', 'Action', 'Military and War']"
Stanislav Sokolov,"['Animation', 'Drama', 'Faith and Spirituality']"
 Derek W. Hayes,"['Animation', 'Drama', 'Faith and Spirituality']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Marcus Adams,['Action']
David Guy Levy,"['Drama', 'Science Fiction']"
Marc Berlin,"['Comedy', 'Documentary', 'Special Interest']"
Robert N. Bradbury,['Western']
Joseph Kane,"['Western', 'Action', 'Suspense', 'Military and War']"
Shinpei Miyashita,"['Anime', 'Kids']"
Shinpei Miyashita,"['Anime', 'Kids']"
Maury Thompson,['Comedy']
Maury Thompson,['Comedy']
Richard Pearce,"['Drama', 'Kids', 'Horror', 'Science Fiction']"
Lynn Roth,['Drama']
Mark Osborne,"['Animation', 'Kids']"
William Wyler,"['Drama', 'Romance', 'Suspense', 'Comedy', 'Action', 'Western']"
William Wyler,"['Drama', 'Romance', 'Suspense', 'Comedy', 'Action', 'Western']"
Baeble Music,"['Music Videos and Concerts', 'Comedy', 'Arts', 'Entertainment', 'and Culture']"
Benjamin May,"['Documentary', 'Sports']"
Andrew Jones,"['Horror', 'Suspense', 'Young Adult Audience', 'Action', 'Drama']"
Sean Patrick O'Reilly,['Kids']
Matthew Holmes,"['Action', 'Western']"
Piotr Szkopiak,"['Drama', 'Suspense']"
Todd Nilssen,['Documentary']
Anthony C. Ferrante,"['Action', 'Science Fiction', 'Comedy', 'Horror']"
Samuel Bischoff,['Drama']
Isaac Halasima,"['Drama', 'Faith and Spirituality', 'Suspense', 'Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
Delbert Mann,"['Drama', 'Military and War']"
Joe Talbot,"['Arthouse', 'Arts', 'Entertainment', 'and Culture', 'Drama']"
Logan Bush,['Documentary']
Orson Welles,"['Drama', 'Suspense']"
Jerry Lewis,"['Comedy', 'Science Fiction']"
James Marsh,"['Action', 'Adventure', 'Suspense']"
Lone Scherfig,"['Drama', 'Romance']"
Dan Krauss,"['Action', 'Suspense']"
S. Roy Luby,"['Action', 'Western']"
Chang Cheh,"['Action', 'Drama']"
Norman Z. McLeod,"['Comedy', 'Science Fiction', 'Arts', 'Entertainment', 'and Culture', 'Drama']"
Daniel Barber,"['Action', 'Drama', 'Western', 'Suspense']"
Thomas Lucas,['Documentary']
Elmer Clifton,"['Drama', 'Suspense', 'Action', 'Western']"
Derrick Borte,"['Drama', 'Suspense']"
Kenny Golde,"['Action', 'Drama', 'Suspense']"
Richard Fleischer,"['Drama', 'Adventure', 'Action', 'Suspense', 'Special Interest']"
Peter Collinson,"['Action', 'Comedy']"
Allan Dwan,"['Adventure', 'Action', 'Arts', 'Entertainment', 'and Culture', 'Drama']"
Derek Richards,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
 Brad O'Connor,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
Andrea Di Stefano,"['Action', 'Suspense']"
Mary Lambert,"['Drama', 'Suspense']"
David Alvarado,"['Documentary', 'Special Interest']"
 Jason Sussberg,"['Documentary', 'Special Interest']"
Matthew Wolfe,"['Documentary', 'Drama', 'Sports']"
Harry Thomason,"['Documentary', 'Special Interest']"
 Nickolas Perry,"['Documentary', 'Special Interest']"
Bornila Chatterjee,"['Drama', 'International']"
Iris Shim,"['Action', 'Special Interest']"
David Attwood,"['Drama', 'Suspense']"
Tom Putnam,['Comedy']
Jeremy Lutter,['Horror']
Baeble Music,"['Music Videos and Concerts', 'Comedy', 'Arts', 'Entertainment', 'and Culture']"
Ted Hallock,['Documentary']
Brett Haley,"['Comedy', 'Drama', 'Romance']"
Daniel Farrands,"['Horror', 'Suspense']"
Sheldon Lettich,"['Action', 'Suspense', 'Adventure']"
Paul Van Carter,['Documentary']
Steven Luke,"['Action', 'Drama']"
Arhtur Lubin,['Drama']
 Arthur Lubin,['Drama']
David Batty,"['Drama', 'Documentary']"
Michael Palmieri,['Documentary']
 Donal Mosher,['Documentary']
Chet Brewster,"['Arts', 'Entertainment', 'and Culture', 'Documentary', 'Music Videos and Concerts']"
David Yuzuk,['Documentary']
Johannes Nyholm,"['Drama', 'Science Fiction']"
Rick Beyer,"['Documentary', 'Drama']"
William Witney,"['Suspense', 'Western', 'Action', 'Drama', 'Science Fiction']"
Karel Reisz,['Drama']
Martin Ritt,"['Comedy', 'Drama', 'Western', 'Action']"
Greydon Clark,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Romance', 'Horror', 'Suspense']"
A. Edward Sutherland,['Comedy']
David Sington,['Special Interest']
Kevin Knoblock,"['Documentary', 'Special Interest']"
George Waggner,"['Action', 'Romance', 'Western']"
Tom Jennings,['Documentary']
William Nigh,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Drama', 'Military and War', 'Suspense', 'Action']"
Lulu Wang,"['Arthouse', 'Arts', 'Entertainment', 'and Culture', 'Comedy', 'Drama']"
D.C. Hamilton,"['Romance', 'Science Fiction']"
William Witney,"['Suspense', 'Western', 'Action', 'Drama', 'Science Fiction']"
Jon Garcia,['Drama']
Dane Wilson,['Faith and Spirituality']
Jeffrey Schwarz,"['Documentary', 'LGBTQ']"
Ken Scott,"['Action', 'Comedy', 'Drama']"
Bruce Brown,"['Documentary', 'Sports']"
David Lynch,"['Drama', 'Suspense']"
Richard Friedenberg,['Drama']
Clarence Brown,"['Action', 'Drama']"
Peter Flynn,['Documentary']
Mario Andreacchio,"['Action', 'Kids', 'Science Fiction']"
Tony Randel,"['Drama', 'Suspense', 'Horror']"
Aziz Jindani,"['Animation', 'Comedy', 'Kids']"
Billy Senese,"['Horror', 'Suspense']"
Michael McCaffrey,"['Documentary', 'Faith and Spirituality', 'Special Interest']"
Michael McCaffrey,"['Documentary', 'Faith and Spirituality', 'Special Interest']"
Albert Herman,"['Suspense', 'Comedy', 'Action', 'Military and War']"
Dan Bush,"['Action', 'Horror']"
Andrew Jones,"['Horror', 'Suspense', 'Young Adult Audience', 'Action', 'Drama']"
Juliane Block,['Horror']
Matthew Currie Holmes,['Horror']
M.A. Taylor,"['Documentary', 'Special Interest']"
Freddie Francis,"['Horror', 'Science Fiction']"
Joseph Kane,"['Western', 'Action', 'Suspense', 'Military and War']"
H.C. Potter,"['Comedy', 'Drama', 'Romance']"
 Stuart Heisler,"['Comedy', 'Drama', 'Romance']"
 William Wyler,"['Comedy', 'Drama', 'Romance', 'Action']"
Brian Jun,['Drama']
Melvin Frank,"['Action', 'Comedy']"
 Norman Panama,"['Action', 'Comedy']"
